Nr.;Anrede;Titel;Vorname;Nachname;Geburtsdatum;Straße;Hausnummer;Postleitzahl;Stadt;Telefon;Mobil;EMail;Newsletter
19;Herr;;Edwin;Merx;;Linkenbacher Straße;164;83530;Schnaitsee;08074/46886761;0159/6482589;e-merx@mymail.none;
20;Herr;;Roger;Patz;;Hofgarten;69;86842;Türkheim;08245/98174107;;roger_patz@justmail.none;
21;Herr;;Klausdieter;Behler;;Spielbergweg;124 b;60439;Frankfurt am Main;;0153/4542040;klausdieter-behler@bestmail.none;nein
22;Frau;;Rathgunde;Stern;;Steiler Weg;111;54413;Geisfeld;06503/74182328;0169/5840278;rathgunde-stern@net-mail.none;
23;Herr;;Karl;Röwer;;Mobilheimpark;43;25795;Weddingstedt;0481/30851935;0168/9828478;karlroewer@justmail.none;
24;Herr;;Edgar;Kath;;Hammerstraße;176;32694;Dörentrup;05265/49956718;0166/9983134;e_kath@xyz.none;ja
25;Herr;;Konradin;Wheeler;;Max-Beckmann-Straße;86b;78259;Mühlhausen-Ehingen;07733/66794626;0167/6243520;konradin_1913@validmail.none;
26;Frau;;Louisa;Becht;;Elsässer Straße;30;72358;Dormettingen;07427/94019389;0164/2021816;louisa_10@domain.none;ja
27;Herr;;Tino;Witzmann;;Im Born;169;67149;Meckenheim;06326/91249146;0179/9502773;tino_witzmann@validmail.none;ja
28;Frau;;Adolfa;Carl;28.11.1944;Karlstadter Straße;69;65623;Hahnstätten;06430/78633439;0160/4576224;adolfa-carl@open-mail.none;
29;Herr;;Humbert;Jurk;23.10.1922;Burggrafstraße;185;23847;Bliestorf;04501/77632357;0177/1626963;humbert.jurk@inter-mail.none;
30;Herr;;Felix;Holze;;Schwalbenstraße;190 b;55483;Kappel;06763/9365351;;f.holze@spam-mail.none;
31;Frau;;Adelinde;Feller;14.08.1965;Seitenstraße;115;66989;Höheinöd;06333/22208228;;adelindefeller@domain.none;ja
32;Frau;;Elisa;Feldmeier;17.07.2011;Am Nubbenberg;36 b;56754;Brohl;02672/86064820;0163/5758680;elisa_feldmeier@email.none;ja
33;k.A.;;Vincent;Kranz;;Dietrichstraße;116;53604;Bad Honnef;;0155/4792916;vincent_kranz@goggle-mail.none;
34;Frau;;Cora;Hoos;;Vierbühlstraße;80;90469;Nürnberg;;0157/7590454;;
35;k.A.;;Jason;Remmel;;Oberweg;69;61200;Wölfersheim;06036/8237797;0179/6080808;;
36;Frau;;Uta;Bamberg;19.02.1941;Lindenbergstraße;22 b;78667;Hochwald;0741/64526085;0165/9023886;u.bamberg@live-mail.none;ja
37;Herr;Prof. Dr.;Frowin;Joseph;;Bachaue;190a;27313;Dörverden;04234/99254474;0161/6031908;f-joseph@private.none;
38;Frau;Dr.;Marietheres;Duran;;Linkenbacher Straße;74;92699;Bechtsrieth;;0175/6371263;marietheres-duran@live-mail.none;ja
39;Frau;;Burga;Mais;;Im Kirschengarten;97;72649;Wolfschlugen;07022/42886906;0163/5545270;burga-mais@bestmail.none;
40;k.A.;;Agatha;Harwardt;;In den Gruben;145;19230;Hagenow;03883/98261304;;agatha_13@email.none;
41;Herr;;Raimer;Marek;;In den Steinen;157;63785;Obernburg am Main;06022/34151250;;r.2016@quickmail.none;
42;k.A.;;Mischel;Thurn;;Im Weberling;166;23863;Kayhude;04535/87098316;0152/9533453;m-thurn@funmail.none;
43;Frau;;Alexa;Burghardt;;Börlinghausen;116;29594;Soltendieck;05874/98924423;0160/9165402;alexa.97@funmail.none;
44;Frau;;Philine;Detzel;;Arnulfusstraße;23;54647;Pickließem;06563/1979863;0179/6648406;;
45;Frau;;Regine;Böning;18.05.2015;Zum Röthchen;117;34277;Fuldabrück;0561/97118209;0160/1229897;regineboening@web.none;
46;Herr;;Innozenz;Sippel;;Kiwittstraße;158;56288;Hollnich;06762/94078311;;innozenz.sippel@xyz.none;
47;Herr;;Ruppert;Mullins;25.03.1919;Stieglitzweg;54;97261;Güntersleben;09365/88314829;0172/5894238;r-mullins@ultramail.none;ja
48;Frau;;Annakatrin;Siegrist;;Axtbachtal;178;85256;Vierkirchen;;;annakatrin.siegrist@web.none;ja
49;Herr;;Arwed;Kropp;18.02.2011;Am Kapellenberg;123;26524;Hage;04931/4352418;;arwed_kropp@quickmail.none;ja
50;Frau;;Ottilie;Tillack;;Steiler Weg;42;57413;Finnentrop;;0172/7777235;ottilietillack@validmail.none;
51;Frau;;Resi;Sobottka;;Osemundstraße;141;31621;Pennigsehl;05028/22678314;;resi_sobottka@private.none;
52;Frau;;Ilsemarie;Trummer;;Im Biewing;146;06528;Oberröblingen;03464/19286688;0165/1713926;ilsemarie.trummer@xyz.none;
53;k.A.;;Irena;Deichmann;;Allensteiner Straße;33;93189;Reichenbach;09464/5401761;0155/4941998;i-deichmann@anymail.none;
54;Frau;;Gunda;Goltz;;Roßberg;114;29549;Bad Bevensen;05821/46123329;0169/8037797;g.goltz@kitty.none;nein
55;Herr;;Willi;Bentz;;Linger Weg;142;27336;Frankenfeld;05165/72810566;0153/7574723;willibentz@web.none;nein
56;Herr;;Ruthard;Sahm;;Langenauer Straße;158;69226;Nußloch;06224/7990885;;r-sahm@quickmail.none;
57;Herr;;Ekkehard;Heep;18.03.1985;Auf dem Driesch;55;26529;Leezdorf;;;ekkehard-heep@spam-mail.none;
58;k.A.;;Alexander;Blaser;;Eversumer Straße;123;64407;Fränkisch-Crumbach;06164/71452532;0153/2204897;alexander-blaser@kitty.none;
59;Herr;Dr.;Otger;Höfling;14.09.1989;Schladeberg;142;57632;Kescheid;02685/99278224;;o-hoefling@private.none;
60;Herr;;German;Kral;;Schützendelle;178;21502;Hamwarde;;0156/6577069;;
61;k.A.;;Grimbert;Spreng;16.07.1965;Römerallee;35;31073;Delligsen;05187/75876424;0161/5624319;;
62;k.A.;;Friedolf;Rütz;;Schiersteiner Straße;164;25779;Glüsing;04836/58638597;0161/7145419;f.46@validmail.none;
63;Herr;;Friedlieb;Ralf;;Bendenstraße;188c;39638;Potzehne;03907/84529170;;;
64;Frau;;Ilsetraud;Gass;27.06.2001;Enscheder Straße;22;15230;Frankfurt;;0156/1949076;ilsetraud_gass@kitty.none;
65;Herr;;Fried;Helmbrecht;;Am Grünewald;80;67259;Heuchelheim;;;fried24@validmail.none;ja
66;Herr;;Sascha;Jungermann;;Hirzener Straße;107;89143;Blaubeuren;;0165/3303365;s_jungermann@net-mail.none;
67;Herr;;Gundhard;Stubenrauch;02.07.1994;Rotsteiner Straße;131;76646;Bruchsal;07251/35288877;0159/5446124;gundhardstubenrauch@trashmail.none;ja
68;Frau;;Annemirl;Löbel;25.02.1968;Birkenbachstraße;180;54313;Zemmer;06580/64750723;0151/6024946;annemirl_loebel@live-mail.none;
69;Frau;;Jenny;Barthelmes;;Bierstraße;104;59368;Werne;02389/98495265;0153/2268600;jenny.barthelmes@bestmail.none;ja
70;Herr;;Edmar;Kwiatkowski;;Boom;194;67737;Frankelbach;06301/47184315;;e.1963@company.none;ja
71;Herr;;Peter;Stummer;;Wehlstrift;144;31699;Beckedorf;05725/65119728;0172/8707112;peter-stummer@net-mail.none;ja
72;Herr;;Freimut;Hornstein;26.12.1987;Kettwiger Straße;150;16775;Stechlin;03306/34644573;;freimut.hornstein@goggle-mail.none;
73;Herr;;Diethelm;Unkelbach;28.10.1972;Westfalenstraße;199;38479;Tappenbeck;;0156/1939710;;ja
74;Frau;;Clarissa;Gronau;;Am Marienhain;198;63920;Großheubach;09371/95624572;0165/6075885;clarissa1939@goggle-mail.none;
75;Frau;;Anne;Hinkel;;Am Berg;171;44289;Dortmund;0231/94898997;0163/8734416;a-99@live-mail.none;
76;k.A.;;Hermelinda;Geyer;;Berliner Höhe;64c;74182;Obersulm;07130/83285394;;hermelinda.geyer@funmail.none;
77;Herr;;Rigbert;Rest;;Fritz-Erler-Straße;52;36157;Ebersburg;06656/43714232;0161/7263008;;ja
78;Herr;;Lindmar;Pastor;31.01.2007;Hermannsweg;69a;56321;Rhens;02628/72213521;;lindmar-pastor@hoster.none;
79;Frau;;Kim;Söhl;;Lamertzweg;23;86842;Türkheim;08245/63624078;0171/4543171;kimsoehl@ultramail.none;
80;Frau;;Erica;Gockel;;Im Überdorf;97;25474;Bönningstedt;;;erica.gockel@company.none;
81;Herr;;Jasper;Chapman;;Grevener Damm;143;56290;Lütz;02672/76999794;0152/5331038;;nein
82;Frau;;Annemaria;Löscher;;Kavelocher Hof;19;17235;Neustrelitz;;0165/8944863;annemarialoescher@retromail.none;
83;Herr;;Heimfrid;Kreft;;Montargisstraße;4;56459;Gemünden;02663/46059933;0173/5949086;heimfrid_17@inter-mail.none;ja
84;Herr;;Egomar;Barnett;;Ferdinand-Lassalle-Weg;83;85122;Hitzhofen;08458/29666639;0174/3553104;;ja
85;Herr;;Leopold;Wilbert;;Kolberg-Körlin-Straße;191;24598;Heidmühlen;;0162/2402709;;
86;Herr;;Wingolf;Bohnsack;;Winterbergstraße;33;38110;Braunschweig;0531/73568792;;wingolfbohnsack@open-mail.none;
87;Frau;;Veronica;Wahl;;Wilkenheide;173;54426;Gräfendhron;06504/7371498;0155/9449923;;nein
88;Herr;;Ferhart;Ebbers;;Vor der Steinert;192;56825;Beuren;;;;
89;Herr;;Meinhart;Hudson;13.07.2016;Breekamp;95 c;90763;Fürth;0911/32658872;0178/8011446;meinhart.hudson@domain.none;
90;Frau;Dr.;Myrjam;Anke;;Ober dem Garten;131;71384;Weinstadt;07151/52902100;0164/7074176;manke@web.none;
91;Herr;;Michel;Limmer;;Engelbertusstraße;131;56479;Stein-Neukirch;02667/48944135;;michel-limmer@domain.none;
92;Herr;;Paul;Helfrich;29.06.2005;Leversum;109;80639;München;089/19881787;;paul_helfrich@live-mail.none;
93;Herr;;Hippolytus;Schabel;;Ladestraße;121;47495;Rheinberg;02843/77029639;;h-schabel@private.none;
94;Frau;;Rotraut;Mittendorf;22.09.1979;Reichenberger Straße;197;92272;Freudenberg;;0158/2816806;rotraut-mittendorf@funmail.none;
95;Herr;;Diethelm;Hanemann;;Rheinstraße;168;54456;Tawern;06501/62541468;0158/8686139;diethelm_hanemann@web.none;
96;Herr;;Achim;Jelinek;;Cäcilienstraße;172;86703;Rögling;09094/48737694;0156/5459382;achim.1973@kitty.none;ja
97;Herr;;Bonifaz;Hermes;;Johann-Strauß-Weg;46;37619;Pegestorf;05533/21666484;0168/9486324;bonifazhermes@goggle-mail.none;ja
98;Frau;;Reinhilde;Henker;;Weißenburgstraße;21;57580;Fensdorf;02747/21962927;0151/2801100;reinhilde1949@mymail.none;
99;Herr;;Wolfhard;Dahlem;;Sorpestraße;88;76889;Pleisweiler-Oberhofen;06343/20635234;0167/7036582;wolfhard2007@mymail.none;
100;Herr;;Burchard;Furch;;Hochsteinsiedlung;128;25938;Borgsum;04681/14143448;0164/9528949;burchard.1964@open-mail.none;
101;Frau;;Ingelotte;Spitzer;29.10.1947;Deisterstraße;52;29473;Göhrde;05862/94217447;0168/2917126;ingelotte-spitzer@spam-mail.none;ja
102;Frau;;Dore;Gietl;08.04.1989;Weilerweg;179;55122;Mainz am Rhein;06131/68051861;;;ja
103;Frau;;Anna;Seedorf;14.09.1904;Riedstraße;168;67756;Hinzweiler;06304/30495342;0169/6019843;anna_seedorf@open-mail.none;
104;Frau;;Ela;Jentsch;;Zum Barstein;113;57645;Nister;02662/19733535;0162/5243197;ela.jentsch@kitty.none;
105;Herr;;Hansjochen;Bezold;08.08.1921;Hamburger Allee;32;45665;Recklinghausen;02361/24366152;0152/1335703;hansjochenbezold@open-mail.none;
106;Herr;Dr.;Dietwald;Hagel;;Dermbachtal;147;64521;Groß-Gerau;06152/77152134;0167/3825497;dietwald_44@goggle-mail.none;
107;Frau;;Lya;Niehoff;;John-F.-Kennedy-Straße;148;71735;Eberdingen;07042/74010677;0172/1208432;l.niehoff@mymail.none;
108;Herr;;Bert;Denzel;;Am Wiesenrain;54a;56472;Stockhausen-Illfurth;02661/1868527;0170/9464502;b-61@domain.none;
109;Frau;;Liliane;Mehr;;Montessoristraße;108;34637;Schrecksbach;;0154/6922250;liliane-1919@inter-mail.none;
110;Herr;;Egbert;Blech;;Max-Planck-Straße;139;24647;Ehndorf;04321/59850959;0161/6079556;egbertblech@hoster.none;ja
111;Frau;;Heimtraud;Cordes;;Bayreuther Straße;20;06774;Pouch;03493/83222578;0156/5783127;heimtraudcordes@trashmail.none;nein
112;Frau;;Mariella;Höger;;Badstraße;145;77716;Haslach;07832/85315708;;mariella_hoeger@inter-mail.none;ja
113;Herr;;Ermenfried;Bönsch;;Marderstraße;15;21502;Hamwarde;04104/21453205;;ermenfriedboensch@funmail.none;nein
114;k.A.;;Arnfried;Ehrmann;;Küstriner Straße;126;25364;Brande-Hörnerkirchen;;;arnfried-1940@retromail.none;
115;k.A.;;Dankward;Sulzer;;Blanscheidstraße;113;32457;Porta Westfalica;05706/11832027;0166/2228703;;
116;Frau;;Belina;Henk;17.10.1955;Im Paradies;2;42399;Wuppertal;0202/61462305;0162/2747039;belina.henk@domain.none;
117;Frau;;Gerritdina;Koblitz;;Adolph-Kolping-Straße;64;23816;Neversdorf;04552/16293085;0151/3157553;;
118;Herr;;Adolph;Schlote;;Freudenberg;35;77756;Hausach;07831/42556852;0152/4738192;adolph.schlote@live-mail.none;
119;Herr;;Dietwalt;Goller;09.11.1909;Calmontstraße;142;54587;Birgel;;0166/2741446;dietwalt1909@company.none;
120;Frau;;Sophie;Kuhnle;;Remser Weg;138;35796;Weinbach;06471/79939295;;sophiekuhnle@retromail.none;
121;Herr;;Nicholas;Nill;;In der Limbach;82;24896;Treia;04626/21245028;0153/1721096;nicholas_1989@live-mail.none;
122;Herr;;Thassilo;Bachmann;;Herrenwiesenstraße;75;57629;Merkelbach;02662/14402989;;thassilo.bachmann@anymail.none;nein
123;Frau;;Adela;Karp;;Heckenstraße;90;64753;Brombachtal;06063/39193109;0176/4794500;adela.karp@company.none;
124;Herr;;Ludolf;Götte;;Im Mühlborn;120 a;16230;Melchow;;0174/2391699;l_goette@live-mail.none;
125;Frau;;Bernhilde;Christmann;17.06.1951;Gropiusstraße;87;56812;Valwig;02671/37646058;0158/8705399;bchristmann@web.none;
126;k.A.;;Mechthilde;Dengler;;Maarstraße;144;23972;Metelsdorf;;0157/5248143;m_dengler@inter-mail.none;nein
127;Herr;;Meinhard;Marino;;Oldenkottstraße;143;56357;Kasdorf;06772/88368745;0159/4181449;meinhard-14@company.none;
128;Frau;;Burghild;Hauswald;30.03.1981;Am Hang;27;25842;Bargum;04672/53589742;0158/3307532;b_81@spam-mail.none;
129;Herr;Prof. Dr. Dr.;Theo;Barrenbrügge;;Berghausener Straße;37;27628;Uthlede;04746/45293302;0153/7732031;theo_2003@live-mail.none;
130;Frau;;Ilsabe;Stölzle;28.07.2014;Obere Pfannstraße;22 a;50181;Bedburg;02272/11019851;;ilsabe_2014@bestmail.none;
131;Frau;;Monja;Knöchel;;Im Auengarten;10;34587;Felsberg;;;;
132;k.A.;;Lukas;Blaschke;;Im Hommershof;23;21401;Thomasburg;;0160/8377035;l_blaschke@email.none;
133;Frau;;Gisa;Pope;10.05.1905;In der Hilbach;162;46282;Dorsten;02362/60609137;0155/4221105;gisa05@trashmail.none;
134;k.A.;;Cordian;Döbler;21.03.1995;Berghäuser Straße;5;26624;Südbrookmerland;04942/52018051;0176/5856161;cordian_doebler@private.none;
135;Herr;;Vitus;Hagner;;Reyweg;98;94130;Obernzell;08591/80131664;0178/3406005;vitus_hagner@inter-mail.none;nein
136;Frau;;Irmentraut;Hack;14.02.1997;Forstweide;139;55444;Dörrebach;06724/19938745;0161/7767690;;
137;Frau;;Clotilde;Roy;;Am Dillchesberg;106;53127;Bonn;0228/71851612;;c_roy@retromail.none;
138;Frau;;Romy;Adelmann;08.02.2001;In der Wesch;119;24996;Ahneby;04637/84142484;0171/6022898;romy-adelmann@xyz.none;
139;Herr;;Ludger;Hüttl;11.02.1948;Zum Heckelchen;11;55595;Gebroth;;0155/4586412;l_huettl@kitty.none;
140;Frau;;Kim;Herbers;;Prachter Straße;127;82057;Icking;08178/43998649;0162/3393755;kim-herbers@funmail.none;
141;Frau;;Rosa;Wippich;;Stettiner Straße;196;87544;Blaichach;08321/44041566;;;
142;Herr;;Rupertus;Stokes;;Konrad-Adenauer-Straße;58;66894;Lambsborn;06372/88974756;0166/9533142;r.15@company.none;
143;Frau;;Margitte;Hegel;;Brunnengasse;108;88630;Pfullendorf;;;margitte.hegel@anymail.none;ja
144;Herr;;Ivo;Schmoll;;Flößerstraße;172;76327;Pfinztal;07240/52517529;;i-schmoll@retromail.none;
145;Frau;;Berna;Jahr;;Hahnestraße;5;56379;Oberwies;02604/92890557;;berna-jahr@open-mail.none;
146;Herr;;Gottlob;Steinhoff;;Ahle;169;09496;Pobershau;03735/78072513;0166/2950490;g.1919@open-mail.none;nein
147;k.A.;;Dörthe;Goertz;;Windmühlenberg;80;74629;Pfedelbach;07941/59331391;0170/7618121;doerthe70@open-mail.none;
148;Herr;;Gerhardt;Green;;Rosental;25c;85609;Aschheim;089/84258773;;g_green@live-mail.none;ja
149;Herr;;Melchior;Ballmann;10.09.1991;An der Alten Burg;36;54426;Neunkirchen;06504/87842511;0176/3187816;mballmann@private.none;
150;Frau;;Chantale;Handschuh;16.09.1965;Dorfstr;162;83564;Soyen;08071/56592414;;chantale.1965@spam-mail.none;nein
151;Herr;;Fridulf;Batz;;Flurstraße;69;27324;Eystrup;;0167/4981272;fridulf-batz@kitty.none;
152;Frau;;Dilara;Germann;;Kurfürstendamm;137;54675;Mettendorf;;0154/6662949;dilara-germann@funmail.none;
153;Herr;;Michel;Wilczek;;Gmünder Straße;107;20459;Hamburg;040/32100830;0174/5323398;;ja
154;Frau;;Mareike;Pilgram;;Olsdorf;97;49186;Bad Iburg;05403/21358989;0171/8497236;mareike-pilgram@spam-mail.none;ja
155;Frau;;Joelle;Carter;;Keilbecker Straße;17b;09119;Chemnitz;0371/76980743;0177/8681142;j_carter@private.none;
156;Frau;;Hannegret;Pöhlmann;;Kobbachstraße;164;39590;Heeren;03931/1647372;0154/4825595;hannegret.poehlmann@domain.none;ja
157;Herr;;Bodo;Fäth;;Silberstraße;195;63820;Elsenfeld;06022/63568399;0153/1393896;b_53@trashmail.none;
158;Frau;;Gerda;Armbrust;11.02.2003;Fronstraße;28;25813;Südermarsch;;0162/9835401;;ja
159;Frau;;Kläre;Gerst;;Boschstraße;121;88697;Bermatingen;07544/92108424;0152/7924267;k.gerst@xyz.none;
160;Herr;;Heidfried;Reinholz;;Erdinger Straße;124;21406;Melbeck;04134/30233044;0177/3500702;heidfried.reinholz@net-mail.none;
161;Herr;;Luca;Eckelt;;Friedenstraße;162;49459;Lembruch;05447/85411715;;luca.eckelt@goggle-mail.none;
162;Frau;;Desiree;Lechner;;Hinter den Zäunen;175;64859;Eppertshausen;06071/89773555;0158/5531202;desiree.1928@anymail.none;
163;Herr;;Hansludwig;Wilms;;Ober dem Garten;155;56412;Görgeshausen;02602/21904870;0174/1504934;hansludwig.1996@web.none;
164;Herr;;Giselher;Damerow;;Thöreyer Straße;100;53173;Bonn;0228/46600708;0164/3893919;g-damerow@xyz.none;
165;Herr;;Alwin;Nelles;;Markgrafenstraße;118;54552;Utzerath;06592/9161664;0150/1602000;alwin.nelles@goggle-mail.none;nein
166;Herr;;Carlo;Harwardt;05.10.1947;Zur Neumühle;43;24790;Schacht-Audorf;04331/75913188;;carlo_47@inter-mail.none;
167;Frau;;Sissy;Wienand;;Wilhelm-Hellge-Straße;155;24977;Westerholz;;0164/2602477;sissy-wienand@inter-mail.none;
168;Herr;;Alfons;Schöne;01.01.1970;Marktplatz;80 c;24876;Hollingstedt;04627/79737302;0154/9980181;alfons-schoene@mymail.none;ja
169;Herr;;Alfinus;Hammermeister;;Petersberg;26;25563;Wrist;;;alfinus_hammermeister@anymail.none;
170;Frau;;Marah;Fauser;;Im Pesch;196;29478;Höhbeck;05846/66993229;0174/4871910;m22@spam-mail.none;
171;Herr;;Ursus;Riediger;;Carl-Diem-Straße;98;67360;Lingenfeld;06344/37452268;0174/8376768;;
172;Frau;;Haralda;Beere;;Blumenrather Straße;89;47803;Krefeld;;;;
173;Frau;;Lilia;Zick;;Am Horn;198;40211;Düsseldorf;0211/32302497;0159/3632942;lilia.zick@quickmail.none;
174;Frau;;Petra;Mehring;;Lautenschlägerstraße;145;64732;Bad König;06063/46853008;0151/3398343;petra_mehring@spam-mail.none;
175;Herr;;Konradin;Domnick;;Düesbergweg;45;56820;Senheim-Senhals;02671/86395785;0170/4772117;k.domnick@net-mail.none;
176;Frau;;Genia;Helmes;;Moosweg;129;97996;Niederstetten;07932/17704496;0172/1998686;geniahelmes@xyz.none;ja
177;Frau;;Iris;Dudda;;Kirschborn;120;82294;Oberschweinbach;08145/72206959;0170/7982411;iris_69@kitty.none;ja
178;Frau;;Heimgard;Linne;;Ossenkampstiege;14;44289;Dortmund;;0171/6079888;;
179;Herr;;Dietolf;Büchler;;John-Brinckman-Straße;31;77963;Schwanau;07824/9141593;0161/9371591;d.buechler@bestmail.none;nein
180;Frau;;Marei;Eisenberg;29.03.2006;Fleckenbühler Weg;9;36275;Kirchheim;06625/30315897;0164/4949496;mareieisenberg@spam-mail.none;ja
181;Herr;;Louis;Waldow;16.11.1977;Unitasstraße;15;69434;Heddesbach;06272/44079153;0171/1781462;lwaldow@bestmail.none;
182;Frau;;Christina;McLaughlin;;Im Krummacker;87;24576;Weddelbrook;04192/82119037;0152/2769889;c-mclaughlin@net-mail.none;
183;Herr;;Erno;Landwirt;;Hardt;27;24399;Arnis;04642/48307804;0161/9581737;erno.landwirt@domain.none;
184;Herr;;Irmfried;Wilkening;;Flachskamp;177c;63879;Weibersbrunn;06094/22877599;0161/9293201;irmfried_1935@web.none;ja
185;Herr;;Valentin;Karsch;;In der Breitenwiese;191;33449;Langenberg;05248/21498653;;vkarsch@open-mail.none;ja
186;Frau;;Roselene;Haut;;Wiesengrund;161;70437;Stuttgart;0711/1613812;;roselene.68@trashmail.none;nein
187;Herr;;Rothmund;Nikolai;26.06.1969;Am Kirchholz;195;51375;Leverkusen;0214/58588251;0165/6711402;r-nikolai@domain.none;ja
188;Frau;;Gottfriede;Markovic;;Löhrstraße;150;63843;Niedernberg;06028/8166943;0175/7870957;g.markovic@kitty.none;
189;Herr;;Burkhardt;Rödl;;Igelweg;185;41748;Viersen;;0179/6362988;b.1917@hoster.none;
190;Frau;;Barbli;Coleman;;Twistedener Straße;83;49586;Neuenkirchen;05466/60472843;;barbli-coleman@validmail.none;
191;Frau;;Jenny;Knauf;;Kettelerstraße;24;63628;Bad Soden-Salmünster;06056/11464123;0159/3787361;;ja
192;Frau;;Sighilde;Harrison;;Elbinger Weg;40;79588;Efringen-Kirchen;07628/61852551;0175/1466448;s-harrison@justmail.none;
193;Frau;;Lenore;Löb;02.01.1926;Parkstraße;97;54314;Hentern;;0164/2137144;lenoreloeb@live-mail.none;ja
194;Frau;;Ursl;Johanning;;Ballersbacher Weg;135a;55291;Saulheim;06732/85107405;;ujohanning@validmail.none;
195;Frau;;Theobalda;Weiske;24.02.1990;Soetenkamp;77;23881;Niendorf;;0174/9520391;theobalda_weiske@mymail.none;ja
196;Frau;;Heidelind;Stolz;22.06.1944;Lenzstraße;142;33615;Bielefeld;0521/25717295;0174/3054143;;
197;k.A.;;Eckhart;Himmelmann;;Brühlweg;63;66706;Perl;06867/89099307;0150/7461641;eckhart-himmelmann@funmail.none;
198;Herr;;Godo;Dressel;18.04.2009;Holschbacher Straße;191c;40212;Düsseldorf;0211/69941968;0171/7762712;gdressel@open-mail.none;ja
199;Frau;;Gritta;Turek;;Frankfurt am Main;199;63667;Nidda;06043/42348571;0157/8622321;gritta_1930@justmail.none;
200;Frau;;Barbara;Herzberg;;Bierweg;39;15848;Beeskow;03366/69057633;;barbaraherzberg@mymail.none;nein
201;Frau;;Grete;Kutscher;;Böhmerwaldstraße;192;23683;Scharbeutz;04503/67633633;0176/6572477;;
202;Frau;;Bianca;Kroll;;Hülsstraße;31 c;69488;Birkenau;06201/25843685;0170/9558423;b-kroll@anymail.none;ja
203;Herr;;Emre;Brunkhorst;25.06.1994;Amselstraße;36;55469;Altweidelbach;06761/70091649;0172/3035546;e-brunkhorst@quickmail.none;
204;Frau;;Doreen;Lohrer;;Rotweinstraße;185a;57629;Mörsbach;02662/48548876;0167/5456535;;nein
205;k.A.;;Sibylla;Plöger;19.12.1998;Ostpreußenstraße;22;56587;Oberraden;02634/6776103;0166/7778718;sibyllaploeger@xyz.none;
206;Frau;;Riana;Klimm;;In Dangeln;23;58509;Lüdenscheid;;;r.38@quickmail.none;
207;Herr;;Raimond;Demmler;;Zinhainer Weg;86;66701;Beckingen;06835/57953508;0150/3796700;raimond.demmler@net-mail.none;
208;Frau;;Theres;King;;Im Großen Dorf;61;53520;Rodder;02691/68132154;0153/9873904;t-king@email.none;
209;Herr;;Theodor;Lohmüller;;Galgenstraße;160;38226;Salzgitter;;0158/9672562;t.lohmueller@ultramail.none;
210;Frau;;Donate;Köth;;Wuppertaler Straße;132;48739;Legden;02566/23966871;0155/2345272;donate.2009@mymail.none;
211;Herr;;Detmar;Kalinowski;;Vitusring;80b;56291;Hausbay;06747/48193636;;;nein
